0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
8.1698,4.9741,8.4011,5.3599,5.0872,7.6057,6.2321,4.5967,9.6818,7.169,5.7007,10.6643,5.3747,9.7539,7.5769,11.1749,4.6522,8.2381,10.311,6.1797,7.4067,5.5715,6.326,5.7364,9.0056,10.0291,11.3881,9.1798,10.6714,7.1096,5.8249,6.2628,9.7807,8.1601,11.0483,6.5262,9.8832,8.1291,7.7945,9.6095,11.3056,7.5382,9.0646,5.4588,5.9005,11.2758,9.8125,5.3047,0.0
5.7693,5.2019,8.5499,6.0443,5.5352,7.588,6.1704,5.0826,8.0834,6.5529,6.5947,12.2713,5.5201,8.5917,6.6816,11.6585,5.0582,8.6797,8.8075,5.7685,7.7697,6.3982,6.8209,5.9934,8.9354,11.1649,10.7842,9.9077,10.8741,7.7725,5.7603,6.5245,10.7684,8.179,11.5327,6.0738,7.0277,8.6295,8.3373,9.0663,9.7278,6.8434,7.7612,5.6784,6.6452,11.6398,7.0436,7.7207,0.0
7.1957,4.6556,8.6641,5.1453,4.7716,8.1462,5.9587,4.4563,10.6255,7.2835,5.2668,8.2008,5.1774,9.1124,9.2196,10.6168,4.4952,9.0198,10.551,6.3462,5.1928,4.829,6.3796,5.0354,7.4586,9.6556,10.4842,8.4975,9.9849,7.1312,5.8503,5.5169,10.0523,8.5649,11.3719,6.6462,10.0131,8.8491,7.5615,8.4108,9.4295,9.0613,6.4666,4.6332,5.9124,10.0834,9.5193,6.9797,0.0
7.6652,4.5003,8.1554,8.4482,6.2286,7.7892,7.0777,4.3056,8.627,5.5157,5.8503,10.8489,5.2127,8.0467,8.0568,10.9226,4.1467,7.903,10.3983,5.6608,6.6056,5.2856,6.8384,5.0946,8.6503,11.9882,10.3906,8.9498,10.6125,10.1062,4.9179,6.5331,9.3695,7.8182,11.0428,6.5943,10.0456,9.2452,7.2208,8.7985,10.4011,6.9705,7.4449,5.0545,6.3433,11.3962,7.0279,5.0926,1.0
7.5922,5.7939,9.2982,6.3764,5.7387,8.0599,6.222,5.6608,9.3492,6.2888,6.3141,10.6791,6.0367,8.6451,8.2254,11.8879,5.6987,8.8249,8.9321,6.0764,6.7756,6.4737,8.2593,6.1869,7.7356,10.5685,12.0827,9.3301,11.4592,11.1836,5.9882,7.0001,10.318,7.8917,10.6746,6.4825,9.7962,7.8295,8.5355,10.5001,11.1327,7.7061,10.323,5.9665,6.2736,11.3217,7.4525,5.5229,1.0
7.743,6.0732,8.4939,7.5446,5.9773,7.5389,6.1319,5.9273,9.5573,7.2161,6.6608,10.3794,6.0766,9.4402,7.3937,11.8105,5.9331,8.4858,8.9005,6.3179,7.0148,6.3772,7.2724,5.9955,7.5256,10.9349,11.1597,9.9921,11.1329,8.6928,6.2123,6.4318,11.6896,8.1056,10.8571,6.6096,9.1217,8.6226,7.9927,9.6018,10.1009,7.436,8.0824,5.888,6.3221,10.8924,6.8534,6.0799,0.0
7.6282,5.5178,8.8058,5.7678,5.394,7.7215,6.2088,5.5757,10.1351,6.2823,5.874,10.3414,5.8009,9.6658,8.2473,11.6413,5.4308,9.0097,9.492,6.0285,6.1609,6.1569,6.8215,5.5859,7.7129,9.8694,11.8362,9.1975,11.5963,7.7332,5.8072,6.0326,10.2399,8.3321,10.7995,6.9207,9.4154,7.7881,7.9981,10.0058,11.6641,7.915,8.8071,5.5155,6.2669,10.5568,6.8554,5.4505,1.0
7.6282,5.9539,8.552,6.825,6.0961,7.0104,6.9086,5.9007,9.1268,6.685,6.7967,10.9426,6.162,8.5271,7.6664,11.6566,5.9886,8.6371,10.3344,5.9676,6.6498,6.7943,7.3085,6.375,8.5175,10.9268,10.8712,9.9225,11.5663,7.855,6.1565,6.683,10.2457,9.0903,11.2286,7.0874,8.8158,8.4082,8.2932,9.4655,11.3299,7.441,8.0168,5.9168,6.3294,10.601,6.4328,5.8355,1.0
6.2511,5.7155,8.2064,5.7955,5.803,7.3943,6.3273,5.7961,9.9603,7.1875,6.4052,10.0528,5.9029,12.0885,7.9808,11.7541,5.6484,8.5904,9.224,6.6355,7.715,6.0344,6.6428,5.945,7.5779,10.6072,10.6237,9.7796,11.1251,7.1449,6.0479,6.747,10.2272,7.2635,11.3817,7.2856,8.1836,8.099,7.9061,9.5759,10.4409,7.421,8.4878,5.5383,6.1126,11.0027,8.1496,5.4917,0.0
8.2627,4.592,8.7243,5.1314,4.6849,7.3405,6.5886,4.2246,9.3112,6.2814,5.5885,11.1867,5.0671,9.4842,7.7018,11.1252,4.04,8.4777,9.8789,5.9371,6.4078,5.35,5.812,5.2042,7.4473,10.1594,10.5081,10.8377,11.2033,8.7449,6.0792,6.3516,10.0758,7.986,10.6572,6.9705,10.0729,7.7089,7.6183,9.8552,10.6362,6.7766,9.2859,5.3962,5.2895,11.1425,7.7143,4.1606,0.0
7.558,4.6858,7.981,5.4403,6.0436,8.4512,6.8377,4.3917,8.626,6.0329,5.7468,9.1194,5.3169,9.6649,8.2629,10.8012,4.4157,8.165,9.4442,5.6162,6.1648,5.3364,5.4901,5.3289,6.6309,10.6194,9.9549,8.4692,10.0023,8.9796,5.1234,5.303,10.9325,7.5477,11.8466,6.2345,10.0048,9.7697,7.9491,8.7284,9.5247,7.2665,7.8787,4.8935,6.56,10.8648,8.6045,4.6019,0.0
7.1018,5.0011,8.9761,6.479,5.2771,7.5964,6.0772,4.9309,9.4861,6.8374,5.3802,11.2386,5.3585,9.2444,8.0276,11.2867,4.6972,8.6086,9.0531,5.2985,5.8315,5.8822,6.7781,5.6622,9.3306,11.4753,11.9853,8.5448,11.6272,11.2622,5.4863,6.874,10.2242,7.5603,11.5251,6.3504,9.2549,8.5494,8.4797,9.9108,11.5543,7.7425,9.1743,4.9631,5.69,11.1434,7.4515,4.9056,1.0
7.4869,4.9375,9.3288,5.3534,5.0872,8.5587,6.7182,4.8182,9.6448,8.027,6.4451,9.3773,5.7531,9.5104,8.9042,11.0354,4.7055,7.8827,9.1134,6.4125,6.0082,6.0319,6.9291,5.4816,6.9759,10.9461,9.5125,10.2236,10.2543,7.3551,5.4834,6.0269,10.6472,8.1538,12.6232,6.5913,10.3219,9.1626,6.9864,8.3186,10.5147,8.4742,10.0968,5.2333,6.0863,11.4256,7.728,4.9247,0.0
6.3023,4.5119,8.7732,5.272,6.662,7.6335,6.0448,4.323,9.1962,6.6665,5.9924,10.1205,5.0373,8.7912,7.682,11.1644,4.1635,8.1243,8.2357,5.1799,6.6018,5.5257,6.6084,5.63,6.7783,10.8728,10.8033,9.0722,10.9803,6.1549,6.317,5.9486,9.1966,6.9363,11.083,6.6472,8.8635,8.738,7.4964,9.2313,11.6214,7.4106,10.5982,5.4082,5.9206,10.5863,7.4221,4.7608,0.0
7.2953,5.424,9.3298,5.7548,5.617,8.1749,7.1223,5.2456,8.7667,7.2974,6.2032,11.1811,5.7225,8.2537,8.0245,10.8634,5.2989,8.0614,9.1736,6.4691,6.3732,6.1668,6.3655,5.7472,8.1525,11.2137,11.2238,8.266,10.8828,8.5042,5.7505,7.8673,10.2096,9.3462,12.2105,6.7926,9.2048,8.8861,7.0823,9.6383,9.7103,6.9311,8.8071,5.4449,6.6111,11.9377,6.3289,5.4726,1.0
6.5451,4.7939,8.0177,5.3182,4.795,8.2787,6.0701,4.6213,9.4728,5.9258,5.7456,10.5613,5.3342,11.5406,7.427,11.8659,4.7192,7.9741,9.5123,6.3668,6.4481,5.4626,6.171,5.5354,6.7939,9.3819,10.9381,9.3083,11.3076,6.3779,5.3729,5.7881,10.6306,7.5624,10.5421,6.6919,9.0429,7.8553,7.6011,9.5624,10.6119,7.2605,7.9257,4.974,5.7983,11.4385,7.7947,4.625,0.0
7.172,4.8119,9.1035,5.2433,5.4894,7.7855,6.0802,4.7218,8.2906,5.609,5.7131,10.9194,5.5418,8.3333,9.2165,10.5786,4.6972,7.5009,10.4206,5.5999,5.8286,5.4416,5.1328,5.4698,6.0709,11.0153,10.1746,8.9126,10.0419,7.6488,5.2662,8.8672,10.1383,8.7432,11.7608,6.0179,9.7495,9.9351,7.5439,8.8686,10.6362,7.428,7.6965,4.8399,6.4295,10.7959,7.8486,4.8241,1.0
6.7111,4.8946,9.1005,5.58,6.101,8.0942,6.0904,4.3968,8.0169,6.6166,5.8453,10.5789,5.0622,9.0862,8.0162,10.8653,4.4345,8.035,9.9568,6.0981,5.915,6.043,7.3874,5.6289,7.8306,11.63,10.7823,10.5079,10.7332,6.151,5.7114,8.2407,11.1542,9.7688,12.2626,6.6991,7.6244,8.4409,7.1112,8.453,10.5167,7.4126,7.1325,4.7058,6.9213,10.0641,6.3122,4.3858,1.0
7.1976,5.9009,8.5285,6.8139,6.4029,8.2111,6.9734,5.8781,9.5915,6.6305,6.7556,10.68,6.056,9.2781,7.5311,11.0077,6.245,7.9314,8.5234,6.9282,8.0339,6.5158,6.8085,6.0396,7.5396,10.5889,11.2238,9.6159,11.0942,8.7085,6.2416,6.81,10.7342,7.8256,11.0472,6.697,9.1397,9.2909,7.8694,9.6901,10.848,7.5591,7.2196,6.0221,6.3521,10.8244,9.7419,5.7652,0.0
9.086,6.4388,8.4449,6.4254,6.0679,8.0599,7.0636,6.1867,8.723,7.7121,7.0324,8.9524,6.4823,11.5444,8.5731,10.7534,6.1005,7.8766,9.2552,6.6486,6.231,6.6705,6.7392,6.5137,7.2362,10.2245,9.7351,9.2156,9.759,7.7224,6.3766,7.0288,10.9872,8.9089,12.1714,7.2297,10.9395,10.1116,7.0436,8.9261,9.7841,8.7389,10.2691,6.2347,7.0766,10.2875,8.8859,6.1472,0.0
7.8606,4.4356,8.7681,5.6512,4.5632,6.9873,6.0205,3.9581,10.1247,6.4624,6.2518,9.8877,4.7706,10.4974,8.1068,11.8258,4.0557,8.6036,10.4372,5.6303,6.0428,6.1136,6.0865,5.0698,5.9495,9.1142,11.3862,10.9764,11.6986,7.3139,6.6956,4.9859,10.2067,7.6746,10.3368,5.4893,8.7506,7.9044,7.7666,10.3427,11.4883,7.4699,8.6318,4.8687,5.3365,9.9142,8.03,4.1877,0.0
7.4926,4.6264,8.8374,6.7889,5.6725,6.9854,6.0944,4.5158,8.8465,6.2084,5.6308,11.2052,5.1849,7.8706,7.5155,10.8347,4.3644,8.5822,8.929,5.5814,6.8611,5.5542,7.3851,5.0064,10.4148,11.7674,11.3031,9.955,11.6397,10.2329,5.1801,6.4901,10.4089,7.8057,11.474,6.0484,8.9836,8.707,8.094,9.5221,10.0804,7.1175,7.3558,5.2681,5.5744,10.7076,7.8113,5.361,1.0
7.9791,3.973,8.8017,4.8641,4.6392,6.9363,5.98,3.9151,8.723,6.0828,5.1757,12.0477,4.7027,8.5309,7.4384,11.0908,3.5617,8.1609,9.679,5.2474,5.9458,4.8042,6.344,5.2257,7.0963,9.79,10.8779,9.454,11.3704,7.9965,4.7585,5.9515,9.558,7.7711,11.5077,6.7743,9.9815,8.2532,7.631,9.2525,10.4837,6.7187,8.7003,4.0669,5.0764,11.1149,7.4358,3.8087,1.0
5.9333,3.9248,8.4276,5.6734,4.4191,6.9168,6.7739,3.6331,8.2611,5.7706,4.5997,11.4854,4.5339,8.322,6.8284,11.3489,3.9207,7.7274,8.8428,5.6445,7.0369,4.5319,6.5723,5.5966,8.8808,11.8142,10.6763,9.0221,11.1367,6.2747,4.3055,7.6066,11.1122,8.3468,11.7098,5.9346,8.7103,9.1083,6.5194,9.1997,9.1604,7.423,8.4212,5.283,5.9139,11.5801,6.1465,3.8348,0.0
6.9339,4.5326,9.3472,5.3774,5.3949,5.6179,6.5613,4.3835,8.7277,5.6607,5.7156,10.668,5.0106,8.219,8.6845,11.1176,4.423,8.3365,9.3424,5.602,6.6748,5.1557,7.9352,5.0903,8.6832,10.3864,10.7947,9.9476,10.8075,9.5277,4.8905,5.9113,10.4333,7.8728,11.2318,4.8417,9.4417,9.5415,7.2722,8.7851,9.5898,8.4234,7.6446,4.9164,5.9898,11.034,8.1623,4.423,1.0
7.9355,5.8485,8.5224,6.0193,6.3786,7.9348,6.7152,5.9068,8.7553,6.6915,6.7244,11.864,6.3385,10.2736,8.0995,11.2657,5.9059,7.9954,11.8774,6.282,6.3405,6.3029,6.9511,6.0299,6.7189,10.8565,10.7441,9.8325,11.0006,11.4851,5.9227,6.3048,11.2011,9.0463,11.2155,6.3971,9.6707,9.8705,7.722,8.8023,10.0008,8.0799,6.4881,5.6605,6.5538,10.281,7.5839,5.8014,1.0
6.3478,5.086,9.0261,6.2203,6.968,6.8652,6.5613,4.8937,8.1322,6.3287,5.6212,12.031,5.5409,9.3455,7.0587,11.376,5.0056,8.0981,8.9425,5.5062,5.5923,6.9912,7.3457,5.8748,9.4329,11.342,10.864,8.5734,11.979,6.658,5.5414,8.6714,10.717,9.0098,11.552,6.3101,8.902,8.6044,7.9002,9.588,9.9422,7.2879,8.3412,5.4281,6.2144,11.212,7.2475,5.0297,1.0
6.1881,5.1747,8.406,5.7255,5.2558,8.3565,6.8222,5.08,8.634,7.2496,5.8684,10.219,5.5721,8.4959,7.7853,11.442,4.9178,7.6498,7.8104,5.5819,5.9352,5.4969,7.1519,5.3231,8.6615,12.939,10.741,8.7659,10.688,6.4604,5.4393,5.8565,10.455,8.0342,11.861,7.5383,8.8424,8.4763,7.0167,9.5306,11.245,7.2909,9.5871,5.2869,6.5822,11.114,6.7702,4.9454,0.0
6.9311,4.8135,10.0313,5.9916,8.9332,8.4892,6.7679,4.3374,8.0805,6.842,6.1234,11.3101,5.3187,7.8622,8.3889,10.5671,4.7683,8.4086,8.3806,4.995,5.3368,5.5653,6.078,5.6085,7.4197,12.4513,10.6705,10.0672,10.4377,7.0143,5.2701,6.2743,9.6899,8.1255,12.5711,7.7024,9.5978,9.3262,6.8934,8.262,8.8339,7.5476,8.4359,4.7813,6.3185,11.5727,7.5839,4.5084,1.0
6.9463,5.5052,9.4126,8.0227,6.4224,8.3436,6.5878,5.3039,8.3666,6.5935,5.7917,11.421,5.8323,8.233,8.3351,11.577,5.2657,7.1394,8.5344,6.3409,5.8103,5.7995,6.9797,6.1963,9.5381,11.108,10.561,8.1964,10.6,9.9981,5.5871,6.1941,10.735,8.2544,12.564,6.155,9.2982,7.9931,6.7866,9.1661,9.5733,7.5596,9.1087,5.6436,6.3456,11.878,7.9652,5.186,1.0
7.4418,5.4848,8.441,6.3247,6.3657,7.6103,6.275,5.3769,9.3009,6.5094,6.1289,11.19,5.8087,8.5832,7.6102,12.086,5.4252,8.6402,10.981,6.1169,6.2079,6.45,7.9211,6.1782,7.8711,10.303,11.024,9.1722,12.069,8.7158,6.0467,6.3965,10.042,9.3788,11.709,6.3188,8.1958,8.2783,8.0355,9.9911,10.838,7.451,8.334,5.6261,6.1029,10.57,7.5826,5.4743,0.0
6.9293,5.8018,8.671,6.7401,6.3826,8.254,6.3652,5.6959,10.547,6.9434,6.2994,9.8659,5.901,10.211,7.9255,12.1,5.6672,8.2192,10.83,6.359,6.17,6.5555,6.6125,6.2477,7.2119,10.468,11.317,9.4016,11.861,5.9806,6.2342,6.5947,9.3373,7.6774,10.953,6.6025,7.2683,8.558,7.5797,10.612,11.484,7.7797,12.067,5.8757,6.4745,11.098,9.4408,5.8166,0.0
8.166,6.1607,9.2954,6.6168,7.1003,7.4453,6.6556,5.6083,8.6859,6.8568,6.9999,11.427,6.4374,9.3549,7.6501,11.396,5.7073,8.3202,10.931,6.2843,6.3885,7.0594,7.5445,7.0617,8.1752,10.213,11.167,9.4178,11.481,8.19,6.585,6.4357,11.604,9.1301,11.778,7.1899,9.6693,8.118,8.2075,10.144,10.597,7.9154,7.9816,5.9089,6.4375,11.257,6.721,6.3875,0.0
8.3329,4.9604,8.9753,5.5522,5.2742,8.0748,6.366,4.8857,9.9032,6.3469,6.0385,9.9109,5.6024,10.818,8.384,10.574,4.8847,7.8613,8.0784,5.7784,5.6614,5.677,6.194,5.3577,7.3728,12.164,11.068,8.5772,10.522,9.5866,5.4785,5.5876,10.034,8.1947,10.981,5.9792,10.177,9.0394,7.3221,8.7458,9.2934,7.6563,10.325,4.8995,6.3719,11.059,8.8457,5.0171,0.0
6.8742,5.5836,8.933,5.9865,5.7445,8.2387,6.378,5.5944,8.685,6.6654,5.836,11.033,6.0315,10.652,7.3768,12.005,5.5906,7.4837,9.6696,6.2121,6.2933,6.1087,6.3184,5.8495,7.9987,10.055,10.69,9.0742,11.076,6.1223,6.2071,6.6615,9.8942,7.6177,11.012,7.3628,9.489,9.1032,7.5901,10.313,11.507,7.74,8.3714,5.8337,6.5384,11.287,8.2643,5.7323,0.0
6.2805,5.6006,8.3517,5.7445,5.6678,7.0232,6.7761,5.3148,9.9612,6.2568,6.4913,9.6347,5.8461,10.514,8.2097,11.89,5.2196,8.5474,8.6933,5.8917,6.5205,6.6325,6.8226,6.7497,7.1392,10.183,11.06,9.2592,11.598,6.7841,5.8206,6.0263,11.104,8.9446,10.602,7.6104,9.1475,8.0631,8.6703,9.2857,11.319,8.1432,7.344,5.6732,6.4145,10.382,7.8129,5.3245,0.0
6.7985,5.3842,9.5909,5.8964,7.7459,7.9298,6.5025,5.3831,7.7766,6.692,5.9489,10.932,5.9425,8.9322,7.4756,10.864,5.2719,7.7494,11.054,5.8463,6.7195,6.0087,6.7969,5.7917,8.3768,11.188,10.266,8.891,11.044,9.918,5.9008,5.7196,10.757,8.256,11.825,6.738,9.5934,8.6554,7.5162,8.8772,10.782,7.3513,8.6813,5.5912,6.8252,11.515,7.8233,5.3999,0.0
